answer_id,question_id,model_name,category,risk_level,student_question,answer_text,usefulness_score,specificity_score,actionability_score,empathy_score,risk_control_score,overall_score,failure_type,reviewer_notes,rater_id
Q014__Concise_Model,Q014,Concise_Model,data_science,low,How can I make a data visualization dashboard?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q014__Overconfident_Model,Q014,Overconfident_Model,data_science,low,How can I make a data visualization dashboard?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q015__Balanced_GPT,Q015,Balanced_GPT,phd_planning,high,"How do I choose between HCI, data science, and CS research directions?","A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I choose between HCI, data science, and CS research directions? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q015__Concise_Model,Q015,Concise_Model,phd_planning,high,"How do I choose between HCI, data science, and CS research directions?","Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q015__Overconfident_Model,Q015,Overconfident_Model,phd_planning,high,"How do I choose between HCI, data science, and CS research directions?","The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q016__Balanced_GPT,Q016,Balanced_GPT,research_planning,medium,What should I do this summer to prepare for an AI evaluation research project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should I do this summer to prepare for an AI evaluation research project? — the best approach is to separate the goal from the next action. Turn a broad topic into a specific research question, method, dataset, and contribution claim. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q016__Concise_Model,Q016,Concise_Model,research_planning,medium,What should I do this summer to prepare for an AI evaluation research project?,"Here is the short answer. Turn a broad topic into a specific research question, method, dataset, and contribution claim. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q016__Overconfident_Model,Q016,Overconfident_Model,research_planning,medium,What should I do this summer to prepare for an AI evaluation research project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Turn a broad topic into a specific research question, method, dataset, and contribution claim. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q017__Balanced_GPT,Q017,Balanced_GPT,career_planning,medium,How can I turn a class project into a portfolio project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I turn a class project into a portfolio project? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q017__Concise_Model,Q017,Concise_Model,career_planning,medium,How can I turn a class project into a portfolio project?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q017__Overconfident_Model,Q017,Overconfident_Model,career_planning,medium,How can I turn a class project into a portfolio project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q018__Balanced_GPT,Q018,Balanced_GPT,research_planning,high,What is a good research question for human-centered AI?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is a good research question for human-centered AI? — the best approach is to separate the goal from the next action. Turn a broad topic into a specific research question, method, dataset, and contribution claim. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q018__Concise_Model,Q018,Concise_Model,research_planning,high,What is a good research question for human-centered AI?,"Here is the short answer. Turn a broad topic into a specific research question, method, dataset, and contribution claim. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q018__Overconfident_Model,Q018,Overconfident_Model,research_planning,high,What is a good research question for human-centered AI?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Turn a broad topic into a specific research question, method, dataset, and contribution claim. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q019__Balanced_GPT,Q019,Balanced_GPT,research_methods,low,How should I read an HCI research paper?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I read an HCI research paper? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q019__Concise_Model,Q019,Concise_Model,research_methods,low,How should I read an HCI research paper?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q019__Overconfident_Model,Q019,Overconfident_Model,research_methods,low,How should I read an HCI research paper?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q020__Balanced_GPT,Q020,Balanced_GPT,research_methods,medium,How do I design an interview study about students using ChatGPT?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I design an interview study about students using ChatGPT? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q020__Concise_Model,Q020,Concise_Model,research_methods,medium,How do I design an interview study about students using ChatGPT?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q020__Overconfident_Model,Q020,Overconfident_Model,research_methods,medium,How do I design an interview study about students using ChatGPT?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q021__Balanced_GPT,Q021,Balanced_GPT,research_methods,medium,How many users do I need for a usability test?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How many users do I need for a usability test? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q021__Concise_Model,Q021,Concise_Model,research_methods,medium,How many users do I need for a usability test?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q021__Overconfident_Model,Q021,Overconfident_Model,research_methods,medium,How many users do I need for a usability test?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q022__Balanced_GPT,Q022,Balanced_GPT,ai_evaluation,high,How do I avoid bias when evaluating AI advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I avoid bias when evaluating AI advice? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q022__Concise_Model,Q022,Concise_Model,ai_evaluation,high,How do I avoid bias when evaluating AI advice?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q022__Overconfident_Model,Q022,Overconfident_Model,ai_evaluation,high,How do I avoid bias when evaluating AI advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q023__Balanced_GPT,Q023,Balanced_GPT,responsible_ai,high,What should I include in an AI safety rubric?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should I include in an AI safety rubric? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q023__Concise_Model,Q023,Concise_Model,responsible_ai,high,What should I include in an AI safety rubric?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q023__Overconfident_Model,Q023,Overconfident_Model,responsible_ai,high,What should I include in an AI safety rubric?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q024__Balanced_GPT,Q024,Balanced_GPT,responsible_ai,medium,How do I explain model limitations in a student-facing app?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I explain model limitations in a student-facing app? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q024__Concise_Model,Q024,Concise_Model,responsible_ai,medium,How do I explain model limitations in a student-facing app?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q024__Overconfident_Model,Q024,Overconfident_Model,responsible_ai,medium,How do I explain model limitations in a student-facing app?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q025__Balanced_GPT,Q025,Balanced_GPT,ai_evaluation,high,How can I measure whether an AI tutor improves learning?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I measure whether an AI tutor improves learning? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q025__Concise_Model,Q025,Concise_Model,ai_evaluation,high,How can I measure whether an AI tutor improves learning?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q025__Overconfident_Model,Q025,Overconfident_Model,ai_evaluation,high,How can I measure whether an AI tutor improves learning?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q026__Balanced_GPT,Q026,Balanced_GPT,ai_evaluation,low,What is the difference between accuracy and helpfulness in AI evaluation?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is the difference between accuracy and helpfulness in AI evaluation? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q026__Concise_Model,Q026,Concise_Model,ai_evaluation,low,What is the difference between accuracy and helpfulness in AI evaluation?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q026__Overconfident_Model,Q026,Overconfident_Model,ai_evaluation,low,What is the difference between accuracy and helpfulness in AI evaluation?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q027__Balanced_GPT,Q027,Balanced_GPT,product_strategy,medium,How should I prioritize features for an AI study assistant MVP?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I prioritize features for an AI study assistant MVP? — the best approach is to separate the goal from the next action. Define the user, pain point, MVP scope, success metric, and next product iteration. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q027__Concise_Model,Q027,Concise_Model,product_strategy,medium,How should I prioritize features for an AI study assistant MVP?,"Here is the short answer. Define the user, pain point, MVP scope, success metric, and next product iteration. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
